"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"CG5958",82.4428,83.204,82.9625,75.9597,72.9893,74.6042,97.9008,97.1323,95.1086,110.787,116.049,110.194,170.56,172.509,173.579,190.684,188.918,183.539,104.204,86.825
"CG5961",16.726,16.655,15.5175,16.1259,14.9321,16.1206,20.4143,20.2376,21.005,19.1011,20.5307,19.7276,25.6697,24.9735,28.045,24.4665,24.9322,24.9635,14.8355,14.0173
"CG5964",2.04749,2.24895,2.06505,1.72154,1.99392,2.11282,2.88097,2.75866,2.82609,2.91549,2.65488,2.96908,3.57604,2.69149,3.38368,3.31068,3.01649,3.26135,3.80702,3.65076
"CG5966",6.3439,7.08909,6.54683,5.87796,6.34313,6.42649,12.013,12.4581,11.9401,23.0125,22.9752,21.5803,40.3902,39.4646,39.3982,51.4521,51.1852,51.4947,6.09243,7.12466
"CG5968",0,0.132275,0.126887,0,0.237135,0.226644,2.88411,2.93361,3.24124,0.889592,0.791859,0.509377,14.6304,18.1957,17.5996,0.119458,0.256662,0.489547,0.0522875,0.015796
"CG5969",32.8735,30.6965,31.0161,29.5616,31.4033,36.4116,49.6253,48.9189,48.3623,46.1388,55.3259,58.0681,104.582,90.7068,96.3513,109.24,117.401,103.934,32.6994,30.9286
"CG5973",618.389,636.46,623.678,643.999,649.421,646.549,787.578,781.622,783.197,816.647,795.461,803.461,844.753,850.749,853.708,877.402,876.957,881.995,701.883,717.659
"CG5984",0.69024,1.34219,1.22201,0.878318,1.36024,1.1332,1.99384,1.82661,1.5497,2.31132,2.12198,2.04888,2.71961,3.5486,3.03952,3.20789,3.68005,3.20684,0.958317,1.05157
"CG5986",26.7952,25.2812,25.2904,28.0382,28.0253,27.1132,37.8331,38.7261,37.6642,40.2116,39.456,42.7193,37.4365,36.1643,39.367,44.2774,46.5082,49.6031,15.9903,15.3557
"CG5987",1.14208,1.24329,1.01339,1.18244,1.34636,1.2898,2.31138,2.40535,2.7815,2.22096,1.95698,1.86784,6.15004,6.30116,6.23351,0.242256,0.22217,0.229898,1.77652,1.73604
