gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
Start1,FBgn0035028,FBgn0166819,FBgn0183615,20.2844,20.0298,16.1811,15.4724,16.0799,15.7437,14.3333,14.4178,20.3465,22.2993,21.2753,21.3964,22.1355,22.9261,25.0662,26.8112,26.6801,24.9068,27.1949,27.6122
Stat92E,FBgn0016917,FBgn0178054,FBgn0191541,53.818600000000004,52.9575,17.6378,16.7835,17.8276,12.7815,14.1119,12.7491,16.8724,17.3327,17.7182,19.1079,17.4846,17.2077,21.0368,20.562,18.9735,20.483,20.2165,20.007
Su(H),FBgn0004837,FBgn0170810,FBgn0027417,49.6274,53.2301,57.4067,59.9575,57.663,57.6767,59.646,58.1161,69.1095,68.4683,69.5342,73.8369,73.0699,71.4573,62.8685,63.3491,63.9373,79.1373,75.2375,79.0043
Su(P),FBgn0004465,FBgn0179245,FBgn0028446,28.865,27.8556,27.7056,29.6241,28.9355,25.7518,24.6965,27.5075,39.6952,37.3752,38.4727,37.16,38.6002,36.9446,49.9886,47.0614,49.4899,50.0214,50.9983,49.4211
Su(Tpl),FBgn0014037,FBgn0170594,FBgn0084820,15.3446,15.5164,6.7685,7.0394,7.93782,6.08126,6.02362,6.4627,9.64706,9.72276,9.51563,9.97067,9.71776,9.65784,9.43102,9.59218,10.4057,10.8953,10.7514,10.6256
Su(dx),FBgn0003557,FBgn0171762,FBgn0194518,40.0986,39.9766,14.0774,14.0353,13.5103,10.8785,11.2053,10.9934,16.8109,16.1409,16.7544,17.6916,16.5843,16.8265,19.9892,20.3245,19.9681,20.3679,20.862,21.5501
Su(fu),FBgn0005355,FBgn0180845,FBgn0192018,11.5576,10.2427,8.14909,8.77444,7.88582,7.75943,8.74623,7.99002,9.51805,9.36309,9.91902,9.41621,10.0822,9.77609,10.7921,10.4769,11.6279,12.6759,13.0984,12.8881
Su(var)2-10,FBgn0003612,FBgn0175977,FBgn0182399,26.5102,25.1039,10.904,9.89918,10.33,8.37826,9.27771,8.01322,12.0415,11.0432,11.1079,11.3104,11.2915,11.3125,13.3024,14.074,12.9861,12.8622,12.1858,14.0195
Su(var)2-HP2,FBgn0026427,FBgn0175082,FBgn0196955,4.25769,4.03654,1.8353,2.00125,1.97068,1.72734,1.76959,1.71629,1.80888,1.9272,1.75527,1.75056,1.70323,1.62446,2.55764,2.58759,2.65316,2.58218,2.79735,2.79096
Su(var)205,FBgn0003607,FBgn0168069,FBgn0264923,42.7275,42.5956,17.6681,14.5636,17.3107,14.1969,16.4674,15.0748,21.8007,21.4645,22.7718,21.5193,21.3754,20.9621,NA,NA,NA,NA,NA,NA
Su(var)3-7,FBgn0003598,FBgn0178957,FBgn0190403,3.85368,3.90286,1.36077,1.30993,1.409,1.21112,1.17913,1.26476,1.73213,1.75995,1.85219,1.65638,1.78077,1.55093,3.59951,3.16557,3.26027,2.95323,3.08211,3.05504
Su(var)3-9,FBgn0263755,FBgn0180648,FBgn0191841,0.952263,0.96555,5.66857,5.78558,6.41209,6.21588,6.20231,5.95894,8.34512,8.09808,8.20292,7.42891,7.50914,7.13076,10.1988,9.47867,9.25994,8.44346,8.83662,8.84035
Su(z)12,FBgn0020887,FBgn0170393,FBgn0183975,17.2058,17.4293,5.55548,5.24001,5.59555,5.10835,4.82231,4.88216,7.25545,7.61757,7.38864,7.64247,7.54715,8.15465,7.89764,8.47638,7.90663,9.32521,8.9894,9.31512
SuUR,FBgn0025355,FBgn0180105,FBgn0261711,3.23953,2.88855,1.58755,1.66734,1.26895,1.34337,1.25803,1.29999,1.87842,1.71705,1.7033,1.66771,1.53525,1.79654,1.28259,1.37519,1.56253,1.24609,1.25043,1.01508
Sucb,FBgn0029118,FBgn0168842,FBgn0184911,25.2148,26.4049,35.9543,38.4841,36.8338,41.3278,41.3059,41.7793,52.966,52.4703,51.2833,58.7008,59.9857,59.5717,10.94,10.8001,10.5581,9.52504,9.83153,10.1789
Sug,FBgn0036191,FBgn0180150,FBgn0186006,12.923400000000001,12.8236,22.0109,21.4087,22.5355,18.2102,19.1199,18.6598,26.8957,27.0482,27.527,27.9277,29.4882,28.708,15.3249,14.6657,15.4607,14.921,15.7495,14.8391
Sulf1,FBgn0040271,FBgn0170364,FBgn0191774,32.8274,31.9799,16.7576,17.2339,15.997,15.273,14.9387,15.4386,18.1384,17.8352,18.1239,18.04,17.2975,17.6387,17.645,17.8826,16.8853,19.2148,18.9372,18.3535
Sur-8,FBgn0038504,FBgn0170287,FBgn0191713,15.42,15.2179,3.25619,3.52047,3.4374,2.98139,2.95048,3.06126,3.86817,3.88018,3.6748,3.56499,3.60642,3.17689,4.21504,4.03832,4.53602,3.98411,3.62926,3.93947
Surf1,FBgn0029117,FBgn0169730,FBgn0185677,15.8617,15.0017,7.14589,6.89715,8.15214,7.08841,5.64222,7.72339,10.7154,10.1246,11.9574,8.554,10.4322,9.94368,4.84854,4.30699,5.60453,4.94259,4.25776,3.87796
Surf4,FBgn0019925,FBgn0180638,FBgn0191833,94.8966,91.3459,43.7751,43.6803,49.5737,42.2609,43.0366,40.5566,49.3719,49.8563,49.647,51.2429,55.0375,56.8744,43.4685,42.2229,42.9834,41.7558,43.8922,44.1471
